Frame,Other,FCC,HCP,BCC,ICO
226,3065,2398,2,8,0
227,3073,2391,0,9,0
228,3047,2421,0,5,0
229,3087,2371,0,15,0
230,3210,2258,1,4,0
231,2973,2488,0,12,0
232,3040,2425,0,8,0
233,3170,2289,4,10,0
234,3153,2314,1,5,0
235,3182,2278,3,10,0
236,3268,2192,2,11,0
237,3198,2268,0,7,0
238,3338,2126,0,9,0
239,3157,2311,1,4,0
240,3258,2206,2,7,0
241,3196,2264,8,5,0
242,3308,2153,2,10,0
243,3357,2098,7,11,0
244,3305,2158,4,6,0
245,3408,2039,11,15,0
246,3389,2066,5,13,0
247,3428,2027,2,16,0
248,3573,1886,5,9,0
249,3495,1969,4,5,0
250,3476,1984,4,9,0
251,3439,2027,1,6,0
252,3515,1935,3,20,0
253,3483,1979,3,8,0
254,3462,1997,4,10,0
255,3536,1926,5,6,0
256,3584,1877,1,11,0
257,3513,1946,2,12,0
258,3563,1895,5,10,0
259,3560,1895,7,11,0
260,3567,1894,3,9,0
261,3605,1858,3,7,0
262,3626,1835,2,10,0
263,3653,1811,2,7,0
264,3663,1805,1,4,0
265,3591,1868,0,14,0
266,3876,1580,0,17,0
267,3666,1793,3,11,0
268,3788,1667,7,11,0
269,3875,1580,2,16,0
270,3811,1654,3,5,0
271,3851,1611,1,10,0
272,3912,1548,5,8,0
273,3866,1592,1,14,0
274,3721,1744,0,8,0
275,3948,1511,3,11,0
276,3821,1637,0,15,0
277,3855,1609,2,7,0
278,3831,1627,6,9,0
279,3919,1547,1,6,0
280,3892,1563,2,16,0
281,3858,1600,2,13,0
282,3905,1555,6,7,0
283,4054,1404,4,11,0
284,3942,1517,4,10,0
285,4000,1462,0,11,0
286,4009,1457,0,7,0
287,4081,1377,1,14,0
288,3972,1481,10,10,0
289,3989,1468,10,6,0
290,4021,1436,2,14,0
291,4024,1436,2,11,0
292,4003,1451,3,16,0
293,4061,1403,3,6,0
294,4048,1418,3,4,0
295,3954,1510,1,8,0
296,4099,1360,6,8,0
297,4179,1284,3,7,0
298,4137,1322,4,10,0
299,4143,1307,3,20,0
300,4214,1243,6,10,0
301,4272,1176,7,18,0
302,4141,1318,2,12,0
303,4155,1305,3,10,0
304,4294,1168,2,9,0
305,4166,1294,2,11,0
306,4290,1166,5,12,0
307,4213,1244,5,11,0
308,4140,1320,6,7,0
309,4210,1254,8,1,0
310,4316,1146,4,7,0
311,4355,1099,7,12,0
312,4298,1166,5,4,0
313,4204,1258,3,8,0
314,4278,1186,5,4,0
315,4315,1148,4,6,0
316,4392,1072,3,6,0
317,4381,1075,5,12,0
318,4352,1114,2,5,0
319,4379,1073,2,19,0
320,4351,1110,6,6,0
321,4404,1057,4,8,0
322,4424,1029,6,14,0
323,4536,915,9,13,0
324,4506,941,2,24,0
325,4466,983,6,18,0
326,4480,974,3,16,0
327,4562,901,2,8,0
328,4518,942,1,12,0
329,4537,919,5,12,0
330,4536,924,4,9,0
331,4578,881,1,13,0
332,4597,861,6,9,0
333,4507,944,5,17,0
334,4570,886,6,11,0
335,4581,877,5,10,0
336,4596,866,2,9,0
337,4618,838,7,10,0
338,4708,751,4,10,0
339,4710,749,6,8,0
340,4641,817,3,12,0
341,4676,789,2,6,0
342,4684,770,12,7,0
343,4691,768,4,10,0
344,4822,629,8,14,0
345,4691,774,5,3,0
346,4652,810,7,4,0
347,4667,789,7,10,0
348,4815,645,4,9,0
349,4821,636,3,13,0
350,4861,590,10,12,0
351,4829,633,4,7,0
352,4880,578,5,10,0
353,4875,591,3,4,0
354,4840,624,1,8,0
355,4916,544,4,9,0
356,5001,466,2,4,0
357,4893,577,0,3,0
358,4983,474,4,12,0
359,4965,500,5,3,0
360,4944,520,3,6,0
361,4980,477,1,15,0
362,5012,449,7,5,0
363,4976,486,6,5,0
364,4937,528,5,3,0
365,5062,398,4,9,0
366,5007,456,2,8,0
367,4976,482,9,6,0
368,4992,471,3,7,0
369,5019,447,2,5,0
370,4960,497,10,6,0
371,5020,448,2,3,0
372,5045,423,2,3,0
373,5125,330,4,14,0
374,5157,308,4,4,0
375,5184,279,4,6,0
376,5103,364,2,4,0
377,5171,296,2,4,0
378,5188,278,3,4,0
379,5142,321,4,6,0
380,5205,261,0,7,0
381,5176,289,1,7,0
382,5168,292,1,12,0
383,5164,293,6,10,0
384,5200,268,2,3,0
385,5212,255,1,5,0
386,5193,266,9,5,0
387,5170,288,8,7,0
388,5265,202,2,4,0
389,5271,193,5,4,0
390,5294,171,3,5,0
391,5271,189,7,6,0
392,5279,186,3,5,0
393,5309,155,5,4,0
394,5289,180,3,1,0
395,5323,136,4,10,0
396,5304,163,1,5,0
397,5326,143,1,3,0
398,5382,88,0,3,0
399,5363,105,2,3,0
400,5420,47,4,2,0
