Frame,Other,FCC,HCP,BCC,ICO
226,2097,0,1495,7,0
227,2113,0,1484,2,0
228,2063,0,1532,4,0
229,1988,0,1610,1,0
230,2009,0,1589,1,0
231,2006,0,1591,2,0
232,2015,0,1582,2,0
233,2071,0,1514,14,0
234,2170,2,1413,14,0
235,2086,0,1513,0,0
236,2194,0,1405,0,0
237,2071,0,1525,3,0
238,2073,0,1524,2,0
239,2071,2,1526,0,0
240,2002,0,1596,1,0
241,2055,0,1534,10,0
242,2380,1,1209,9,0
243,2166,0,1419,14,0
244,2245,4,1332,18,0
245,2271,0,1316,12,0
246,2210,0,1371,18,0
247,2330,0,1242,27,0
248,2447,0,1068,84,0
249,2627,1,875,96,0
250,2765,0,639,195,0
251,2835,2,383,379,0
252,2937,4,138,520,0
253,2927,0,14,658,0
254,2913,0,8,678,0
255,2929,2,4,664,0
256,2862,0,7,730,0
257,2888,0,3,708,0
258,2822,1,5,771,0
259,2880,0,1,718,0
260,2872,0,2,725,0
261,2941,0,4,654,0
262,2903,5,5,686,0
263,2964,1,7,627,0
264,2931,0,2,666,0
265,3015,1,0,583,0
266,3028,0,5,566,0
267,3051,0,3,545,0
268,2973,1,3,622,0
269,2992,1,5,601,0
270,3017,1,5,576,0
271,2963,0,2,634,0
272,3001,3,6,589,0
273,3006,1,6,586,0
274,3049,1,3,546,0
275,2969,0,3,627,0
276,3004,2,4,589,0
277,2951,0,5,643,0
278,3040,2,2,555,0
279,2956,2,5,636,0
280,2927,2,3,667,0
281,3059,1,6,533,0
282,3053,1,2,543,0
283,2997,0,2,600,0
284,3151,0,5,443,0
285,3004,2,11,582,0
286,3090,2,3,504,0
287,3189,2,8,400,0
288,3130,0,6,463,0
289,2979,1,5,614,0
290,2897,0,1,701,0
291,3099,2,5,493,0
292,2962,2,2,633,0
293,3092,4,5,498,0
294,3023,1,3,572,0
295,3026,0,1,572,0
296,3075,0,7,517,0
297,3062,0,6,531,0
298,3111,0,2,486,0
299,3132,0,1,466,0
300,3144,1,2,452,0
301,3129,0,4,466,0
302,3090,2,3,504,0
303,3106,0,1,492,0
304,3165,1,2,431,0
305,3166,2,4,427,0
306,3149,3,3,444,0
307,3193,2,2,402,0
308,3129,1,2,467,0
309,3146,4,3,446,0
310,3038,1,3,557,0
311,3160,0,1,438,0
312,3210,1,8,380,0
313,3149,1,3,446,0
314,3193,0,7,399,0
315,3120,0,3,476,0
316,3130,0,6,463,0
317,3244,3,3,349,0
318,3174,2,4,419,0
319,3255,2,1,341,0
320,3103,0,9,487,0
321,3189,2,2,406,0
322,3168,1,0,430,0
323,3265,1,3,330,0
324,3185,2,3,409,0
325,3208,0,7,384,0
326,3166,0,6,427,0
327,3221,4,5,369,0
328,3139,3,7,450,0
329,3166,1,2,430,0
330,3148,0,2,449,0
331,3153,1,7,438,0
332,3197,0,6,396,0
333,3167,0,4,428,0
334,3201,1,2,395,0
335,3233,0,6,360,0
336,3239,1,4,355,0
337,3240,1,8,350,0
338,3225,3,7,364,0
339,3215,0,2,382,0
340,3187,1,6,405,0
341,3316,1,1,281,0
342,3209,1,4,385,0
343,3258,2,2,337,0
344,3277,0,4,318,0
345,3292,1,4,302,0
346,3318,0,3,278,0
347,3259,0,1,339,0
348,3277,2,3,317,0
349,3208,1,2,388,0
350,3183,2,3,411,0
351,3294,3,4,298,0
352,3217,0,2,380,0
353,3280,1,9,309,0
354,3291,0,6,302,0
355,3319,0,2,278,0
356,3249,0,7,343,0
357,3236,0,2,361,0
358,3234,1,1,363,0
359,3201,1,1,396,0
360,3265,0,3,331,0
361,3218,2,0,379,0
362,3353,1,3,242,0
363,3218,0,1,380,0
364,3364,0,2,233,0
365,3301,1,0,297,0
366,3231,1,5,362,0
367,3255,1,4,339,0
368,3277,1,5,316,0
369,3287,2,2,308,0
370,3324,2,1,272,0
371,3337,2,1,259,0
372,3253,3,4,339,0
373,3281,0,0,318,0
374,3354,0,5,240,0
375,3283,1,4,311,0
376,3364,0,4,231,0
377,3374,0,1,224,0
378,3287,1,1,310,0
379,3151,0,2,446,0
380,3287,1,5,306,0
381,3335,2,0,262,0
382,3277,1,1,320,0
383,3280,1,5,313,0
384,3355,0,2,242,0
385,3350,1,3,245,0
386,3197,3,1,398,0
387,3254,0,2,343,0
388,3360,0,4,235,0
389,3262,1,4,332,0
390,3258,3,1,337,0
391,3259,2,1,337,0
392,3257,3,1,338,0
393,3328,0,4,267,0
394,3330,2,10,257,0
395,3279,1,4,315,0
396,3270,2,3,324,0
397,3267,3,4,325,0
398,3275,0,0,324,0
399,3276,2,1,320,0
400,3335,1,3,260,0
