Frame,Other,FCC,HCP,BCC,ICO
226,2008,1,1541,49,0
227,2032,1,1515,51,0
228,2015,0,1545,39,0
229,1946,0,1633,20,0
230,1960,1,1612,26,0
231,1927,1,1637,34,0
232,1987,0,1587,25,0
233,2006,0,1525,68,0
234,2059,1,1455,84,0
235,2021,0,1560,18,0
236,2072,0,1504,23,0
237,2004,1,1562,32,0
238,1980,0,1597,22,0
239,1997,0,1586,16,0
240,1995,0,1574,30,0
241,1962,1,1589,47,0
242,2255,1,1259,84,0
243,2092,0,1438,69,0
244,2111,4,1407,77,0
245,2113,0,1415,71,0
246,2098,0,1415,86,0
247,2146,0,1301,152,0
248,2245,0,1130,224,0
249,2358,1,932,308,0
250,2415,0,680,504,0
251,2434,2,417,746,0
252,2444,6,188,961,0
253,2358,2,35,1204,0
254,2425,0,17,1157,0
255,2397,6,13,1183,0
256,2336,2,14,1247,0
257,2351,1,12,1235,0
258,2292,2,8,1297,0
259,2360,2,9,1228,0
260,2318,0,8,1273,0
261,2219,0,13,1367,0
262,2356,6,13,1224,0
263,2343,1,25,1230,0
264,2359,2,18,1220,0
265,2425,2,10,1162,0
266,2488,1,14,1096,0
267,2413,1,15,1170,0
268,2390,1,12,1196,0
269,2461,3,13,1122,0
270,2406,5,18,1170,0
271,2352,1,12,1234,0
272,2425,10,20,1144,0
273,2397,1,14,1187,0
274,2457,3,17,1122,0
275,2361,5,15,1218,0
276,2422,2,14,1161,0
277,2320,2,19,1258,0
278,2464,3,11,1121,0
279,2386,3,22,1188,0
280,2306,6,11,1276,0
281,2528,1,17,1053,0
282,2459,4,12,1124,0
283,2435,3,22,1139,0
284,2559,3,18,1019,0
285,2428,1,28,1142,0
286,2487,3,15,1094,0
287,2633,4,19,943,0
288,2581,0,12,1006,0
289,2394,4,14,1187,0
290,2450,1,7,1141,0
291,2556,6,22,1015,0
292,2429,2,14,1154,0
293,2524,6,20,1049,0
294,2430,2,17,1150,0
295,2437,1,5,1156,0
296,2538,2,23,1036,0
297,2492,1,16,1090,0
298,2514,2,12,1071,0
299,2563,4,15,1017,0
300,2633,1,8,957,0
301,2551,4,15,1029,0
302,2501,1,13,1084,0
303,2535,2,11,1051,0
304,2607,9,10,973,0
305,2552,1,23,1023,0
306,2536,5,14,1044,0
307,2592,4,19,984,0
308,2586,6,8,999,0
309,2585,5,15,994,0
310,2529,1,20,1049,0
311,2602,2,11,984,0
312,2620,6,18,955,0
313,2574,3,8,1014,0
314,2618,6,20,955,0
315,2554,3,15,1027,0
316,2629,4,17,949,0
317,2718,8,22,851,0
318,2559,2,25,1013,0
319,2629,6,23,941,0
320,2465,1,20,1113,0
321,2678,2,9,910,0
322,2700,2,10,887,0
323,2713,2,18,866,0
324,2675,4,20,900,0
325,2669,1,21,908,0
326,2666,7,15,911,0
327,2636,7,14,942,0
328,2517,5,13,1064,0
329,2586,2,10,1001,0
330,2615,2,9,973,0
331,2620,2,19,958,0
332,2608,1,13,977,0
333,2593,3,16,987,0
334,2663,5,16,915,0
335,2705,0,17,877,0
336,2689,2,22,886,0
337,2693,2,31,873,0
338,2672,7,12,908,0
339,2674,6,12,907,0
340,2658,5,24,912,0
341,2748,2,9,840,0
342,2653,2,23,921,0
343,2718,4,14,863,0
344,2637,4,14,944,0
345,2690,9,18,882,0
346,2805,1,18,775,0
347,2693,4,16,886,0
348,2658,2,16,923,0
349,2688,4,12,895,0
350,2687,3,10,899,0
351,2749,4,18,828,0
352,2655,4,15,925,0
353,2793,2,18,786,0
354,2777,0,20,802,0
355,2878,5,15,701,0
356,2717,3,18,861,0
357,2745,1,15,838,0
358,2689,4,13,893,0
359,2679,1,14,905,0
360,2715,5,6,873,0
361,2727,2,14,856,0
362,2803,8,17,771,0
363,2726,0,9,864,0
364,2789,3,12,795,0
365,2743,3,14,839,0
366,2639,3,22,935,0
367,2668,2,16,913,0
368,2665,1,20,913,0
369,2781,2,12,804,0
370,2793,0,15,791,0
371,2758,5,17,819,0
372,2766,5,13,815,0
373,2731,2,22,844,0
374,2825,4,21,749,0
375,2686,4,18,891,0
376,2851,2,22,724,0
377,2850,4,14,731,0
378,2731,4,13,851,0
379,2582,1,24,992,0
380,2790,5,11,793,0
381,2829,0,20,750,0
382,2764,5,13,817,0
383,2702,1,13,883,0
384,2808,0,11,780,0
385,2729,4,19,847,0
386,2634,7,11,947,0
387,2672,1,13,913,0
388,2791,2,20,786,0
389,2757,7,13,822,0
390,2715,3,15,866,0
391,2714,2,14,869,0
392,2680,5,8,906,0
393,2842,1,21,735,0
394,2803,7,18,771,0
395,2747,2,7,843,0
396,2701,7,7,884,0
397,2748,4,10,837,0
398,2760,0,10,829,0
399,2722,2,15,860,0
400,2845,2,22,730,0
