LAMMPS data file via write_data, version 22 Jul 2025, timestep = 380007, units = metal

11121 atoms
2 atom types
2824 bonds
1 bond types

-127.13010600195646 127.13010600195646 xlo xhi
-127.13010600195646 127.13010600195646 ylo yhi
-127.13010600195646 127.13010600195646 zlo zhi

Masses

1 63.546
2 14.007

Bond Coeffs # harmonic

1 71.594 1.0977

Atoms # full

7774 1151 2 0 -102.89810429784232 -122.90636432660268 -120.00158229517348 1 0 3
7775 1151 2 0 -102.97036067579421 -121.8355390429982 -120.10045411777189 1 0 3
8492 1510 2 0 -75.50251914620767 -126.07300539716964 -124.89229794507789 1 1 3
8493 1510 2 0 -76.17844789164964 -126.02381092108975 -125.75834817522974 1 1 3
8977 1752 2 0 -95.05302268728144 -115.23671626139347 -124.06869713742115 1 0 1
8976 1752 2 0 -94.99030938261825 -116.01895897205702 -124.83830999973414 1 0 1
7372 950 2 0 -67.91024682545205 -104.70176909967734 -121.21772256094422 -3 0 -3
7373 950 2 0 -68.59336111419603 -104.10220441076842 -121.83415366397163 -3 0 -3
7387 957 2 0 -121.14819542163245 -100.60694194084813 -121.72174531671412 1 1 -1
7386 957 2 0 -120.197133646146 -100.58870191274171 -122.30076929273754 1 1 -1
5761 144 2 0 -92.45449839463208 -98.19773430509957 -120.23104913602344 -1 -1 1
5760 144 2 0 -93.02623330910967 -97.43214373977256 -119.69298773286971 -1 -1 1
10649 2588 2 0 -28.530401521861663 -93.30921331276232 -126.19179282842539 0 -6 0
7262 895 2 0 -70.05167406778236 -90.42493408502872 -118.79447418394732 0 2 -1
10648 2588 2 0 -29.08134275677034 -92.73719573705485 -126.95635428902891 0 -6 0
7791 1159 2 0 -114.15448995114052 -80.78593766220024 -126.32277432632186 2 -3 -1
7790 1159 2 0 -113.3772559739812 -81.52577542368667 -126.58275330411713 2 -3 -1
7022 775 2 0 -58.412041096331535 -80.60739539503518 -126.72550850166004 0 -1 0
7425 976 2 0 -89.42165789215017 -69.3585257536983 -120.87848407755466 1 -1 1
7424 976 2 0 -90.36570900551 -69.90927276713501 -120.9927241336752 1 -1 1
8116 1322 2 0 -66.63266971009128 -70.06379261038516 -125.766867591014 2 2 0
8117 1322 2 0 -67.21487101337362 -69.23280989739166 -126.18512660916662 2 2 0
8954 1741 2 0 -73.10239365356887 -67.80637567577207 -118.32712484372279 -3 3 4
6586 557 2 0 -103.79748275812614 -62.2344852577733 -121.33172048550664 4 3 0
6587 557 2 0 -103.8108899932284 -63.09665331900739 -120.65341849120841 4 3 0
8183 1355 2 0 -87.53977056014476 -60.49351707064761 -123.08943848600805 1 2 1
8182 1355 2 0 -86.9200059996113 -59.61491770735604 -122.8748827334052 1 2 1
